width,height,channels,color_mode,format,dpi_x,dpi_y,file_size_bytes,file_size_mb,aspect_ratio,megapixels,data_type,is_multi_page,is_valid,error,image_path,category,scanner,scanner_model,tamper_type,filename
1240,1752,3,RGB,TIFF,150.0,150.0,6519605,6.218,0.708,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-1\150.tif,flatfield,Canon120-1,Canon120-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-1\300.tif,flatfield,Canon120-1,Canon120-1,original,300.tif
1240,1752,3,RGB,TIFF,150.0,150.0,6519605,6.218,0.708,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-1\150.tif,flatfield,Canon120-1,Canon120-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-1\300.tif,flatfield,Canon120-1,Canon120-1,original,300.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-2\150.tif,flatfield,Canon120-2,Canon120-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-2\300.tif,flatfield,Canon120-2,Canon120-2,original,300.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-2\150.tif,flatfield,Canon120-2,Canon120-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon120-2\300.tif,flatfield,Canon120-2,Canon120-2,original,300.tif
1240,1752,3,RGB,TIFF,150.0,150.0,6519605,6.218,0.708,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon220\150.tif,flatfield,Canon220,Canon220,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon220\300.tif,flatfield,Canon220,Canon220,original,300.tif
1240,1752,3,RGB,TIFF,150.0,150.0,6519605,6.218,0.708,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon220\150.tif,flatfield,Canon220,Canon220,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106949,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon220\300.tif,flatfield,Canon220,Canon220,original,300.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527057,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-1\150.tif,flatfield,Canon9000-1,Canon9000-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106953,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-1\300.tif,flatfield,Canon9000-1,Canon9000-1,original,300.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527057,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-1\150.tif,flatfield,Canon9000-1,Canon9000-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106953,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-1\300.tif,flatfield,Canon9000-1,Canon9000-1,original,300.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527057,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-2\150.tif,flatfield,Canon9000-2,Canon9000-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106953,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-2\300.tif,flatfield,Canon9000-2,Canon9000-2,original,300.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527057,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-2\150.tif,flatfield,Canon9000-2,Canon9000-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106953,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\Canon9000-2\300.tif,flatfield,Canon9000-2,Canon9000-2,original,300.tif
1236,1754,3,RGB,TIFF,151.0,151.0,6506011,6.205,0.705,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-1\150.tif,flatfield,EpsonV370-1,EpsonV370-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-1\300.tif,flatfield,EpsonV370-1,EpsonV370-1,original,300.tif
1236,1754,3,RGB,TIFF,151.0,151.0,6506011,6.205,0.705,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-1\150.tif,flatfield,EpsonV370-1,EpsonV370-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-1\300.tif,flatfield,EpsonV370-1,EpsonV370-1,original,300.tif
1236,1754,3,RGB,TIFF,151.0,151.0,6506011,6.205,0.705,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-2\150.tif,flatfield,EpsonV370-2,EpsonV370-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-2\300.tif,flatfield,EpsonV370-2,EpsonV370-2,original,300.tif
1236,1754,3,RGB,TIFF,151.0,151.0,6506011,6.205,0.705,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-2\150.tif,flatfield,EpsonV370-2,EpsonV370-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV370-2\300.tif,flatfield,EpsonV370-2,EpsonV370-2,original,300.tif
0,0,0,ERROR,,0.0,0.0,0,0.0,0.0,0.0,unknown,False,False,cannot identify image file 'C:\\Users\\Dell\\OneDrive\\Desktop\\TraceFinder_Project\\data\\raw\\flatfield\\EpsonV39-1\\._150.tif',C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-1\._150.tif,flatfield,EpsonV39-1,EpsonV39-1,original,._150.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527059,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-1\150.tif,flatfield,EpsonV39-1,EpsonV39-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-1\300.tif,flatfield,EpsonV39-1,EpsonV39-1,original,300.tif
0,0,0,ERROR,,0.0,0.0,0,0.0,0.0,0.0,unknown,False,False,cannot identify image file 'C:\\Users\\Dell\\OneDrive\\Desktop\\TraceFinder_Project\\data\\raw\\flatfield\\EpsonV39-1\\._150.tif',C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-1\._150.tif,flatfield,EpsonV39-1,EpsonV39-1,original,._150.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527059,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-1\150.tif,flatfield,EpsonV39-1,EpsonV39-1,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-1\300.tif,flatfield,EpsonV39-1,EpsonV39-1,original,300.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527059,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-2\150.tif,flatfield,EpsonV39-2,EpsonV39-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-2\300.tif,flatfield,EpsonV39-2,EpsonV39-2,original,300.tif
1240,1754,3,RGB,TIFF,151.0,151.0,6527059,6.225,0.707,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-2\150.tif,flatfield,EpsonV39-2,EpsonV39-2,original,150.tif
2480,3508,3,RGB,TIFF,301.0,301.0,26106955,24.898,0.707,8.7,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV39-2\300.tif,flatfield,EpsonV39-2,EpsonV39-2,original,300.tif
1239,1754,3,RGB,TIFF,151.0,151.0,6521797,6.22,0.706,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV550\150.tif,flatfield,EpsonV550,EpsonV550,original,150.tif
2478,3508,3,RGB,TIFF,301.0,301.0,26085907,24.877,0.706,8.69,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV550\300.tif,flatfield,EpsonV550,EpsonV550,original,300.tif
1239,1754,3,RGB,TIFF,151.0,151.0,6521797,6.22,0.706,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV550\150.tif,flatfield,EpsonV550,EpsonV550,original,150.tif
2478,3508,3,RGB,TIFF,301.0,301.0,26085907,24.877,0.706,8.69,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\EpsonV550\300.tif,flatfield,EpsonV550,EpsonV550,original,300.tif
1240,1743,3,RGB,TIFF,150.0,150.0,6486119,6.186,0.711,2.16,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\HP\150.tif,flatfield,HP,HP,original,150.tif
2480,3503,3,RGB,TIFF,300.0,300.0,26069743,24.862,0.708,8.69,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\HP\300.tif,flatfield,HP,HP,original,300.tif
1240,1743,3,RGB,TIFF,150.0,150.0,6486119,6.186,0.711,2.16,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\HP\150.tif,flatfield,HP,HP,original,150.tif
2480,3503,3,RGB,TIFF,300.0,300.0,26069743,24.862,0.708,8.69,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\flatfield\HP\300.tif,flatfield,HP,HP,original,300.tif
1240,1752,3,RGB,TIFF,150.0,150.0,6519605,6.218,0.708,2.17,uint8,False,True,,C:\Users\Dell\OneDrive\Desktop\TraceFinder_Project\data\raw\official_docs\Canon120-1\s1_60.tif,official_docs,Canon120-1,Canon120-1,original,s1_60.tif
