image_path,category,scanner_model,file_name,width,height,channels_or_mode,format,dpi,file_size_bytes,md5
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon120-1\150.tif,flatfield,Flatfield,150.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,7c34c254afa48e0aec2925cfbdefcc85
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon120-1\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,b1a502c9ae888eb7cee80479c3aec301
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon120-2\150.tif,flatfield,Flatfield,150.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,c906ae90c91d0e8ce1e6eaea93e9c3ca
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon120-2\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,f970446d24434cf9d843581303eedfca
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon220\150.tif,flatfield,Flatfield,150.tif,1240.0,1752.0,RGB,TIFF,150.0,6519605,9db49ff8b817047d5ef6da64de902cfb
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon220\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106949,95d5412b571a96a2a25939fac6449583
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon9000-1\150.tif,flatfield,Flatfield,150.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,3be245a79815feb752da5eeeaf54e63d
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon9000-1\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106953,f777eee816af23218f6bc3ac31e47c70
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon9000-2\150.tif,flatfield,Flatfield,150.tif,1240.0,1754.0,RGB,TIFF,151.0,6527057,a32839f8cfb169546c76ab232e406183
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\Canon9000-2\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106953,7969f9a5cc09fca054ad7d8123eb78fc
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV370-1\150.tif,flatfield,Flatfield,150.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,be555d702b2059ad8bede98bb26270e5
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV370-1\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,d4d54f92bf9284cbcabdfad222a24d3a
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV370-2\150.tif,flatfield,Flatfield,150.tif,1236.0,1754.0,RGB,TIFF,151.0,6506011,53a996def53ea9c2a4bf5af0f8884447
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV370-2\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,1956367b02a2a66911755f15ebe222ff
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV39-1\._150.tif,flatfield,Flatfield,._150.tif,,,,,,4096,b7a3c379df839af1c2b3eff6cb5f8dcf
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV39-1\150.tif,flatfield,Flatfield,150.tif,1240.0,1754.0,RGB,TIFF,151.0,6527059,4c4d970589deb367780bfd81d4ae2b2c
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV39-1\300.tif,flatfield,Flatfield,300.tif,2480.0,3508.0,RGB,TIFF,301.0,26106955,bf8de8cfc6fc5e76efa37cd23730bc9e
C:\Users\Admin\AI_TraceFinder\data\flatfield\Flatfield\EpsonV39-2\150.tif,flatfield,Flatfield,150.tif,1240.0,1754.0,RGB,TIFF,151.0,6527059,e0ce896e6f20290b7985838dc17b3594
